SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ELI_200,LIVELLI_WLE_ELI,peso_studente,peso_classe,peso_scuola,ESCS_studente
1333,711,11930,3,13,2,12,4,1,1,1,1,1,66,7,66,5,66,6,3,15,4,169.641387979901,1,43.5386029411765,2.78125,15.6543291473893,-.232403385104513
1327,699,11931,2,13,2,7,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,205.844353785737,2,26.969387755102,2.30952380952381,11.6774668630339,.156527153267346
1329,703,11932,1,13,2,7,4,1,1,1,1,9,12,6,12,4,12,6,3,15,4,188.783652365282,2,28.0218181818182,8.89090909090909,3.15173824130879,1.06554339199705
1330,706,11933,3,13,1,11,4,1,1,1,1,1,12,6,12,2,12,4,3,15,4,143.949847361459,1,40.977508650519,5.05882352941176,8.10020519835841,-.803609437445753
1330,706,11934,3,13,1,9,4,1,1,1,1,1,12,6,12,4,12,4,3,15,4,144.429371364389,1,40.977508650519,5.05882352941176,8.10020519835841,-.935537961560539
1330,706,11935,3,13,1,5,5,1,1,1,1,1,12,6,12,3,12,5,3,15,4,184.205211247566,2,40.977508650519,5.05882352941176,8.10020519835841,.266039081583244
1330,706,11936,3,13,1,12,4,1,1,9,9,9,12,7,12,4,12,6,3,15,4,206.936898682481,2,40.977508650519,5.05882352941176,8.10020519835841,-1.44675113560667
1330,705,11937,3,13,2,6,4,1,1,1,1,1,12,6,12,6,12,6,3,15,4,165.217645289108,1,40.977508650519,5.05882352941176,8.10020519835841,-2.18936558137358
1330,706,11938,3,13,2,5,4,1,1,1,1,1,12,6,12,3,12,5,3,15,4,164.164461163099,1,40.977508650519,5.05882352941176,8.10020519835841,-1.75089850610263
1330,706,11939,3,13,2,5,4,1,1,1,1,1,12,6,12,3,12,5,3,15,4,164.91849039579,1,40.977508650519,5.05882352941176,8.10020519835841,-2.07246935518309
1329,704,11940,1,13,2,5,4,1,1,1,1,1,12,7,12,6,12,7,3,15,4,183.020296809463,2,28.0218181818182,8.89090909090909,3.15173824130879,.0182346540691036
1329,704,11941,1,13,2,5,5,1,1,1,1,1,12,7,12,6,12,8,3,15,4,211.612244338415,2,28.0218181818182,8.89090909090909,3.15173824130879,.0772072095730793
1329,703,11942,1,13,2,12,4,1,1,1,1,1,12,8,12,6,12,7,3,15,4,218.372115016386,3,28.0218181818182,8.89090909090909,3.15173824130879,.351873349875585
1329,703,11943,1,13,2,4,4,1,1,1,1,1,12,8,12,8,12,7,3,15,4,166.997238365332,1,28.0218181818182,8.89090909090909,3.15173824130879,1.33892567821801
1329,704,11944,1,13,1,4,5,1,1,1,1,1,12,6,12,6,12,6,3,15,4,142.533348867841,1,28.0218181818182,8.89090909090909,3.15173824130879,.560617378336533
1329,704,11945,1,13,1,11,4,1,1,1,1,1,12,6,12,6,12,6,3,15,4,171.361102583613,2,28.0218181818182,8.89090909090909,3.15173824130879,1.31658589711697
1329,704,11946,1,13,1,12,4,1,1,1,1,1,12,7,12,7,12,8,3,15,4,185.516595796659,2,28.0218181818182,8.89090909090909,3.15173824130879,.732309162136868
1329,703,11947,1,13,1,9,4,1,1,1,1,1,12,7,12,5,12,5,3,15,4,244.470253513378,3,28.0218181818182,8.89090909090909,3.15173824130879,-1.26893075894537
1329,703,11948,1,13,2,11,4,1,1,1,1,1,12,6,12,4,12,5,3,15,4,175.113465042763,2,28.0218181818182,8.89090909090909,3.15173824130879,-1.30205190413351
1329,703,11949,1,13,2,2,5,1,1,1,1,1,12,7,12,6,12,9,3,15,4,283.275778525767,3,28.0218181818182,8.89090909090909,3.15173824130879,.411001844346826
1329,703,11950,1,13,1,5,4,1,1,1,1,1,12,6,12,8,12,7,3,15,4,254.308050335594,3,28.0218181818182,8.89090909090909,3.15173824130879,.388398531955362
1330,705,11951,3,13,2,11,4,1,1,1,1,1,12,7,12,6,12,4,3,15,4,190.727417594952,2,40.977508650519,5.05882352941176,8.10020519835841,-.349299611294997
1331,708,11952,4,13,2,2,4,1,1,1,1,1,12,6,12,4,12,6,3,15,4,144.429371364389,1,33.0970588235294,3.5,9.4563025210084,-.947359909864906
712,451,11953,2,13,2,7,3,1,3,3,4,4,5,6,12,7,12,5,4,9,3,164.91849039579,1,26.3736842105263,3.97368421052632,6.63708609271523,.743972542916594
1274,548,11954,3,13,1,12,4,1,1,1,1,1,99,99,99,99,99,99,9,12,3,173.294935686791,2,37.5522875816994,2.70588235294118,13.8780193236715,-.698673465658137
1328,702,11955,1,13,1,5,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,174.045950746923,2,35.8418604651163,7.69767441860465,4.65619335347432,2.19088821953772
1328,702,11956,1,13,2,1,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,247.396589250177,3,35.8418604651163,7.69767441860465,4.65619335347432,-.371639392396043
1328,702,11957,1,13,1,1,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,253.373707145691,3,35.8418604651163,7.69767441860465,4.65619335347432,.69254590245132
1328,702,11958,1,13,2,12,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,236.345052620567,3,35.8418604651163,7.69767441860465,4.65619335347432,.37097505337086
