SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
1364,772,19291,3,13,2,9,1,3,3,9,9,9,7,7,7,7,6,6,3,15,4,173.202604244966,2,24.8792016806723,1.05357142857143,23.6141575274177,.695783980057091
1352,750,19292,3,13,1,2,1,1,3,9,9,9,6,6,6,6,6,6,3,15,4,209.113917533939,3,29.0257352941176,1.22916666666667,23.6141575274177,-.19928223991637
1356,758,19293,3,13,1,6,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,151.091437562539,1,26.7929864253394,1.36538461538462,19.6230323115162,.89007907624889
1359,1043,20159,3,13,1,11,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,188.666228888088,2,27.864705882353,1.36,20.4887543252595,-1.02042515889685
1352,749,19294,3,13,1,1,1,1,3,9,9,9,6,6,6,6,6,6,3,15,4,170.042797498442,2,29.0257352941176,1.22916666666667,23.6141575274177,.859584915025529
1445,978,19295,2,13,2,10,1,1,3,9,9,9,12,6,12,6,12,66,4,19,5,168.109271244764,2,36.4502488806111,1,36.4502488806111,-2.78969540720922
1130,171,19296,4,13,2,3,4,4,1,9,9,9,66,6,66,5,66,7,3,4,1,152.782676791734,1,44.1344537815126,6.85294117647059,6.44022072348253,-.509031140692463
1154,239,19297,1,13,1,9,4,2,1,9,9,9,12,6,12,6,12,7,3,54,2,250.933162933292,5,7.53787878787879,4.84848484848485,1.5546875,2.28480744501576
1315,653,19298,4,13,2,1,3,9,3,9,9,9,99,99,99,99,99,99,9,13,4,150.583769574505,1,12.0967741935484,1.83870967741935,6.57894736842105, 
1082,50,19299,2,13,2,9,3,1,3,9,9,9,12,6,12,3,12,7,3,2,1,177.090182760964,2,15.3081395348837,1,15.3081395348837,-1.29167237743533
1208,372,19300,4,13,2,5,2,4,3,9,9,9,12,6,12,9,12,6,3,8,2,156.219808817648,1,34.5333333333333,6.75,5.11604938271605,-1.90025050880192
704,435,19301,2,13,2,2,3,2,3,2,2,2,12,6,12,5,12,7,3,9,3,185.963949311158,2,17.8841463414634,2.14634146341463,8.33238636363636,-1.30205190413351
1321,688,19302,4,13,2,6,2,4,3,1,1,1,12,7,12,8,12,8,3,15,4,146.547718664307,1,38.8034482758621,4.68965517241379,8.27426470588235,-.198400223223741
1418,919,19303,3,13,1,8,3,1,3,9,9,9,12,7,12,7,12,6,3,18,5,178.64262998694,2,20.6709401709402,1.23076923076923,16.7951388888889,1.33892567821801
1130,172,19304,4,13,1,9,1,1,3,1,1,9,66,6,66,6,66,8,3,4,1,162.572313465867,1,44.1344537815126,6.85294117647059,6.44022072348253, 
1296,599,19305,3,13,2,3,1,1,3,9,9,9,7,7,6,7,6,7,3,12,3,166.608447625965,1,30.3994708994709,1.0952380952381,27.756038647343,-.698673465658137
